x,y,z
7260.4352,52581.6869,3.0380
8326.4120,55772.3937,3.0380
5094.5983,54906.4446,3.0380
2671.0103,56981.4211,3.0380
5946.1038,57912.8826,3.0380
2727.3187,60054.6084,3.0380
9657.6612,61221.6338,3.0380
23928.3257,62662.7093,3.0380
5715.0612,60894.2035,3.0380
-439.8369,59826.3190,3.0380
25750.1923,55727.8621,3.0380
21091.6969,64523.7779,3.0380
36103.5032,62751.3219,3.0380
39515.7526,64843.1844,3.0380
44306.9855,69526.3583,3.0380
40211.2014,68630.5114,3.0380
33417.5244,59420.4047,3.0380
29934.8570,56999.9888,3.0380
27199.8496,59763.3946,3.0380
